progression_type,display_order,rank_group,rank_name,minimum_experience,maximum_experience,best_ranking,worst_ranking
GRADE,0,사병,훈련병,0,15000,,
GRADE,1,사병,이병,15001,37501,,
GRADE,2,사병,일병,37502,67502,,
GRADE,3,사병,상병,67503,105003,,
GRADE,4,사병,병장,105004,189004,,
GRADE,5,부사관,하사 1호봉,189005,264005,,
GRADE,6,부사관,하사 2호봉,264006,339006,,
GRADE,7,부사관,하사 3호봉,339007,470257,,
GRADE,8,부사관,중사 1호봉,470258,582758,,
GRADE,9,부사관,중사 2호봉,582759,695259,,
GRADE,10,부사관,중사 3호봉,695260,807760,,
GRADE,11,부사관,중사 4호봉,807761,991511,,
GRADE,12,부사관,상사 1호봉,991512,1141512,,
GRADE,13,부사관,상사 2호봉,1141513,1291513,,
GRADE,14,부사관,상사 3호봉,1291514,1441514,,
GRADE,15,부사관,상사 4호봉,1441515,1591515,,
GRADE,16,부사관,상사 5호봉,1591516,1854016,,
GRADE,17,위관,소위 1호봉,1854017,2079017,,
GRADE,18,위관,소위 2호봉,2079018,2304018,,
GRADE,19,위관,소위 3호봉,2304019,2529019,,
GRADE,20,위관,소위 4호봉,2529020,2754020,,
GRADE,21,위관,소위 5호봉,2754021,2979021,,
GRADE,22,위관,소위 6호봉,2979022,3346522,,
GRADE,23,위관,중위 1호봉,3346523,3646523,,
GRADE,24,위관,중위 2호봉,3646524,3946524,,
GRADE,25,위관,중위 3호봉,3946525,4246525,,
GRADE,26,위관,중위 4호봉,4246526,4546526,,
GRADE,27,위관,중위 5호봉,4546527,4846527,,
GRADE,28,위관,중위 6호봉,4846528,5319028,,
GRADE,29,위관,대위 1호봉,5319029,5694029,,
GRADE,30,위관,대위 2호봉,5694030,6069030,,
GRADE,31,위관,대위 3호봉,6069031,6444031,,
GRADE,32,위관,대위 4호봉,6444032,6819032,,
GRADE,33,위관,대위 5호봉,6819033,7194033,,
GRADE,34,위관,대위 6호봉,7194034,7824034,,
GRADE,35,영관,소령 1호봉,7824035,8349035,,
GRADE,36,영관,소령 2호봉,8349036,8874036,,
GRADE,37,영관,소령 3호봉,8874037,9399037,,
GRADE,38,영관,소령 4호봉,9399038,9924038,,
GRADE,39,영관,소령 5호봉,9924039,10449039,,
GRADE,40,영관,소령 6호봉,10449040,11341540,,
GRADE,41,영관,중령 1호봉,11341541,12091541,,
GRADE,42,영관,중령 2호봉,12091542,12841542,,
GRADE,43,영관,중령 3호봉,12841543,13591543,,
GRADE,44,영관,중령 4호봉,13591544,14341544,,
GRADE,45,영관,중령 5호봉,14341545,15091545,,
GRADE,46,영관,중령 6호봉,15091546,16456546,,
GRADE,47,영관,대령 1호봉,16456547,17656547,,
GRADE,48,영관,대령 2호봉,17656548,18856548,,
GRADE,49,영관,대령 3호봉,18856549,20056549,,
GRADE,50,영관,대령 4호봉,20056550,21256550,,
GRADE,51,영관,대령 5호봉,21256551,22456551,,
GRADE,52,영관,대령 6호봉,22456552,24999999,,
GRADE,53,장성,준장,25000000,,300001,
GRADE,54,장성,소장,,,150001,300000
GRADE,55,장성,중장,,,50001,150000
GRADE,56,장성,대장,,,2001,50000
GRADE,57,장성,부원수,,,101,2000
GRADE,58,장성,원수,,,2,100
GRADE,59,장성,대원수,,,1,1
SEASON_GRADE,0,사병,특등이병,0,10000,,
SEASON_GRADE,1,사병,특등일병,10001,30001,,
SEASON_GRADE,2,사병,특등상병,30002,50002,,
SEASON_GRADE,3,사병,특등병장,50003,86003,,
SEASON_GRADE,4,부사관,특전하사 1호봉,86004,116004,,
SEASON_GRADE,5,부사관,특전하사 2호봉,116005,146005,,
SEASON_GRADE,6,부사관,특전하사 3호봉,146006,176006,,
SEASON_GRADE,7,부사관,특전하사 4호봉,176007,206007,,
SEASON_GRADE,8,부사관,특전하사 5호봉,206008,266008,,
SEASON_GRADE,9,부사관,특전중사 1호봉,266009,316009,,
SEASON_GRADE,10,부사관,특전중사 2호봉,316010,366010,,
